Time,Latitude,Longitude,Course,Speed,Altitude,Humidity,Temperature,Pressure,roll,pitch,yaw,x,y,z,Speed
13:27:00,,,290,112,26382.00,0,3.12,18.17,348.74,341.19,215.72,-27.16,-38.44,-4.53,68.524
13:27:51,37.05862821,-87.76298535,291,113,26382.00,0,3.21,16.96,333,12.99,157.37,-13.03,-16.37,-3.67,68.524
13:28:00,,,292,114,26382,,,,,,,,,,
13:28:22,37.05862821,-87.76298535,293,115,26382.00,0,3.32,15.91,353.01,339.81,182.84,-34.22,-35.35,-6.67,68.524
13:29:00,,,294,116,26382,,,,,,,,,,
13:29:39,37.05862821,-87.76298535,295,117,26382.00,0,3.35,14.8,294.79,30.02,47.7,-12.1,-28.12,-3.56,68.524
13:29:51,37.06042674,-87.78571612,296,118,26382,,,,,,,,,,
13:30:00,,,297,119,27071,,,,,,,,,,
13:30:31,37.06042674,-87.78571612,298,120,27071.00,0,3.48,13.71,325.62,20.91,79.25,-41.8,-9.12,-3.75,70.376
13:31:00,,,299,121,27071,,,,,,,,,,
13:31:51,37.06431868,-87.80793223,300,122,27785.00,0,3.68,12.66,334.24,20,153.3,-33.87,-48.34,-10.26,70.376
13:32:00,,,301,123,27785,,,,,,,,,,
13:32:29,37.06431868,-87.80793223,302,124,27785.00,0,3.71,11.69,313.96,6.29,64.35,-37.76,-9.36,-5.59,70.376
13:33:00,,,303,125,27785,,,,,,,,,,
13:33:52,37.06861538,-87.82946154,304,126,28457.00,0,3.75,10.81,354.83,310.68,297.18,-39.49,-12.75,-5.15,53.708
13:34:00,,,305,127,28457,,,,,,,,,,
13:35:00,,,306,128,28457.00,0,3.89,10.02,297.96,25.17,38.72,-10.26,-27.49,-2.77,53.708
13:35:14,37.06861538,-87.82946154,307,129,28457.00,0,4.1,9.26,0.76,36.48,221.89,-3.01,-11.84,-7.76,53.708
13:35:52,37.07137363,-87.84830403,308,130,28457,,,,,,,,,,
13:36:00,,,309,131,29110,,,,,,,,,,
13:36:33,37.07137363,-87.84830403,310,132,29110.00,0,4.27,8.57,339.81,73.22,162.45,-38.46,-42.57,-8.14,42.596
